product_category,product_sku,product_name,unit_price,supplier_id
Electronics,LPT-HP-001,Laptop HP Pavilion 15,3500000,f3332708-df62-41d2-9c61-7751ad1334c6
Accessories,MSE-LOG-001,Mouse Logitech G203,120000,fbf7a60f-d524-45e8-8a86-cfd7483bdc21
Accessories,USB-KIN-64,USB Kingston 64GB,45000,fbf7a60f-d524-45e8-8a86-cfd7483bdc21
Home,CHR-ERG-005,Silla Ergonomica Office,450000,e6ff22a6-5023-42a5-8c47-86cb967f2d0c
Electronics,MON-SAM-24,Monitor Samsung 24,600000,f3332708-df62-41d2-9c61-7751ad1334c6
Accessories,KBD-MEC-002,Teclado Mecanico Redragon,250000,d3289a7d-a43e-47d0-91d1-0ed5b0f9fe05
Home,DSK-STD-100,Escritorio Estandar Blanco,320000,e6ff22a6-5023-42a5-8c47-86cb967f2d0c
Home,LMP-LED-001,Lampara LED Escritorio,80000,b3ebbddc-8115-40e6-b779-64b7f04adfa4
Accessories,HDP-SNY-005,Audifonos Sony WH-1000,1200000,25425831-0b5d-42ae-b84d-7240293d6a06
Electronics,TAB-APP-009,iPad Air 64GB,2800000,f3332708-df62-41d2-9c61-7751ad1334c6
Accessories,CS-TAB-009,Funda iPad Air,90000,fbf7a60f-d524-45e8-8a86-cfd7483bdc21
Electronics,MON-LG-27,Monitor LG 27 UltraGear,1100000,f3332708-df62-41d2-9c61-7751ad1334c6
Accessories,CBL-HDMI-003,Cable HDMI 2.0 3m,35000,72f64624-c899-4ee5-aa67-2c236d1b6f82
Home,SF-LIV-002,Sofa Cama Gris,1500000,e6ff22a6-5023-42a5-8c47-86cb967f2d0c
Electronics,PRT-EPS-004,Impresora Epson EcoTank,950000,c5b656bf-b637-40d5-8055-46048115f69e
Stationery,PPR-RSM-500,Resma Papel Carta 500,25000,f283a79f-40de-4449-82d4-5e96a6ded3a9
Electronics,SPK-JBL-005,Parlante JBL Flip 6,550000,25425831-0b5d-42ae-b84d-7240293d6a06
Kitchen,CFT-OST-001,Cafetera Oster 12 Tazas,180000,d809ff1b-c638-4a0e-b398-2314fed3e88c
Kitchen,BTR-IMU-002,Batidora Inmersion,120000,d809ff1b-c638-4a0e-b398-2314fed3e88c
Electronics,MIC-SHR-058,Microfono Shure SM58,450000,25425831-0b5d-42ae-b84d-7240293d6a06
Stationery,MKR-SHR-012,Marcadores Sharpie x12,35000,f283a79f-40de-4449-82d4-5e96a6ded3a9
